Reporting Period,Project Number,Legacy Project Number,City,County,State,Zip Code,Sector,Program Type,Solicitation,Electric Utility,Purchase Type,Date Application Received,Date Completed,Project Status,Contractor,Primary Inverter Manufacturer,Primary Inverter Model Number,Total Inverter Quantity,Primary PV Module Manufacturer,PV Module Model Number,Total PV Module Quantity,Project Cost,$Incentive,Total Nameplate kW DC,Expected KWh Annual Production,Remote Net Metering,Affordable Solar,Community Distributed Generation,Green Jobs Green New York Participant,Georeference
6/30/21,275771,,Lindenhurst,Suffolk,NY,11757,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,11/12/20,3/31/21,Complete,NY State Solar (dba for NYSS LLC),Enphase Energy Inc.,IQ7-60-x-ACM-US [240V],14,Hanwha Q CELLS,Q.PEAK DUO BLK-G6+ 340,14,21019.46,,4.76,5794,,No,No,Yes,POINT (-73.374734 40.690158)
6/30/21,70932,,CENTER MORICHES,Suffolk,NY,11934,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,9/29/16,2/15/17,Complete,Harvest Power,SolarEdge Technologies,SE 10000A-US (240V),1,Hyundai Heavy Industries,HiS-S280RG(BK),36,44392.8,,10.08,12244,,No,No,Yes,POINT (-72.795143 40.803541)
6/30/21,255762,,Bronx,Bronx,NY,10456,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Power Purchase Agreement,8/21/20,10/26/20,Complete,"IGS Solar, LLC",Enphase Energy Inc.,IQ7PLUS-72-x-US [208V],6,LG Electronics Inc.,LG350N1C-V5,6,7875,420,2.1,2242,,No,No,No,POINT (-73.908566 40.830652)
6/30/21,165095,,Bethpage,Nassau,NY,11714,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,12/3/18,2/7/19,Complete,"SuNation Solar Systems, Inc.",SolarEdge Technologies Ltd.,SE7600H-US [240V],1,"S-Energy Co., Ltd.",SN360M-10,23,27738,,8.28,11005,,No,No,Yes,POINT (-73.484996 40.740895)
6/30/21,232772,,Jamaica,Queens,NY,11436,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,1/25/20,8/17/20,Complete,1st Light Energy,SMA America,SB3.0-1SP-US-41 [240V],1,AXITEC,AC-320MH/120S,11,30157.53,686,3.52,3081,,No,No,No,POINT (-73.796836 40.675692)
6/30/21,57479,4944-75346,Bay Shore,Suffolk,NY,11706,Residential,Residential/Small Commercial,PON 2112LI,Long Island Power Authority,Lease,10/1/15,12/29/15,Complete,SunRun Inc.,ABB,PVI-3.6-OUTD-S-US-A (240V),1,REC Solar,REC275TP,16,12480,880,4.4,5452,No,No,No,No,POINT (-73.255404 40.729218)
6/30/21,191376,,Mineola,Nassau,NY,11501,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,6/24/19,10/21/19,Complete,"SuNation Solar Systems, Inc.",Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],27,"S-Energy Co., Ltd.",SN360M-10,27,35495.12,,9.72,11076,,No,No,Yes,POINT (-73.639378 40.747079)
6/30/21,73951,,Newburgh,Orange,NY,12550,Residential,Residential/Small Commercial,PON 2112,Central Hudson Gas and Electric,Purchase,11/22/16,8/17/17,Complete,Sungevity Inc,SolarEdge Technologies,SE3800 (240V) w/ -ER-US or A-US,1,LG Electronics,LG300N1K-G4,16,17190,,4.8,2214,,No,No,No,POINT (-74.046775 41.529205)
6/30/21,41340,4704-82374,Elmont,Nassau,NY,11003,Residential,Residential/Small Commercial,PON 2112LI,Long Island Power Authority,Lease,11/30/15,5/18/17,Complete,Tesla Energy Operations Inc.,ABB,PVI-6000-OUTD-US-Z-A (240V),1,Trina Solar,TSM-260PD05.18,27,29905.2,899,7.02,6612,,No,No,No,POINT (-73.705417 40.699473)
6/30/21,309213,,Massapequa,Nassau,NY,11758,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,5/21/21,,Pipeline,,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],30,REC Solar,REC360AA Black,30,37721,,10.8,11755,,No,No,Yes,POINT (-73.460296 40.682417)
6/30/21,292167,,Wyandanch,Suffolk,NY,11798,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,2/16/21,,Pipeline,,Enphase Energy Inc.,IQ7PLUS-72-x-US-& [240V],33,Trina Solar,TSM-325DD06M.05(II),33,28958,,10.73,12530,,No,No,Yes,POINT (-73.365346 40.752907)
6/30/21,9196,5159-84192,New Hyde Park,Nassau,NY,11040,Residential,Residential/Small Commercial,PON 2112LI,Long Island Power Authority,Power Purchase Agreement,1/5/16,4/18/16,Complete,Level Solar,SolarEdge Technologies,SE3800 (240V) w/ -ER-US or A-US,1,LG Electronics Solar Cell Division,LG300N1C-B3,16,23419.2,960,4.8,6407,No,No,No,No,POINT (-73.680183 40.744867)
6/30/21,216224,,Hicksville,Nassau,NY,11801,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,10/14/19,12/18/19,Complete,Hytech Solar Inc,Enphase Energy Inc.,IQ7-60-x-US [240V],24,Canadian Solar Inc.,CS1H-325MS,24,37544,,7.8,8895,,No,No,Yes,POINT (-73.523021 40.762643)
6/30/21,212095,,Queens,Queens,NY,11412,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Lease,9/13/19,11/11/19,Complete,SunRun Inc.,Enphase Energy Inc.,IQ7PLUS-72-x-US [208V],9,LG Electronics Inc.,LG335N1C-A5,9,11668.06,904,3.02,3380,,No,No,No,POINT (-73.759234 40.698064)
6/30/21,125993,,Queens,Queens,NY,11419,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,6/14/18,8/16/18,Complete,Venture Home Solar LLC,SunPower,SPR-E20-327-D-AC [208V],13,SunPower,SPR-E20-327-D-AC,13,25506,893,4.25,4019,,No,No,No,POINT (-73.822985 40.689125)
6/30/21,213361,,Yonkers,Westchester,NY,10704,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Lease,9/25/19,11/6/19,Complete,SunRun Inc.,SolarEdge Technologies Ltd.,SE3000H-US [240V],1,REC Solar,REC290TP2 BLK,10,9778,583,2.9,2651,,No,No,No,POINT (-73.861958 40.919901)
6/30/21,291940,,Mattituck,Suffolk,NY,11952,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,2/25/21,5/14/21,Complete,"SuNation Solar Systems, Inc.",Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],26,REC Solar,REC360AA Black,26,30078,,9.36,9851,,No,No,Yes,POINT (-72.540397 40.995965)
6/30/21,44599,5137-92669,Wappingers Falls,Dutchess,NY,12590,Residential,Residential/Small Commercial,PON 2112,Central Hudson Gas and Electric,Lease,3/9/16,6/30/16,Complete,Sungevity Development LLC,ABB,PVI-3.0-OUTD-S-US-A (240V),1,Trina Solar,TSM-255PD05.05,8,7180.8,816,2.04,2339,No,No,No,No,POINT (-73.892917 41.589636)
6/30/21,35396,4704-65400,Patchogue,Suffolk,NY,11772,Residential,Residential/Small Commercial,PON 2112LI,Long Island Power Authority,Power Purchase Agreement,5/27/15,11/5/15,Complete,Tesla Energy Operations Inc.,SolarEdge Technologies,SE6000 (277V) w/ -ER-US or A-US,1,Trina Solar,TSM-260PD05.18,25,36400,884,6.5,6409,No,No,No,No,POINT (-72.995552 40.76922)
6/30/21,295870,,Queens,Queens,NY,11434,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Lease,3/9/21,4/27/21,Complete,SunRun Inc.,Enphase Energy Inc.,IQ7-60-x-US [240V],9,"LONGi Green Energy Technology Co., Ltd.",LR6-60HPB-315M,9,6638,386,2.84,2591,,No,No,No,POINT (-73.775656 40.676003)
6/30/21,244188,,West Islip,Suffolk,NY,11795,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,4/15/20,6/18/20,Complete,NY State Solar (dba for NYSS LLC),Enphase Energy Inc.,IQ7-60-x-ACM-US [240V],21,"S-Energy Co., Ltd.",SN310M-10T,21,37116.78,,6.51,7196,,No,No,Yes,POINT (-73.298729 40.711073)
6/30/21,59097,4564-82790,Valhalla,Westchester,NY,10595,Residential,Residential/Small Commercial,PON 2112,Central Hudson Gas and Electric,Purchase,12/1/15,3/9/16,Complete,RGS Energy,Enphase Energy,M215-60-2LL-S2X-IG,5,Silfab,SLA255P,5,8113.59,638,1.28,1364,No,No,No,No,POINT (-73.782282 41.084453)
6/30/21,238605,,South Ozone Park,Queens,NY,11420,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Power Purchase Agreement,3/13/20,6/10/20,Complete,"IGS Solar, LLC",Enphase Energy Inc.,IQ7-60-x-US [208V],8,Hanwha Q CELLS,Q.PEAK DUO BLK-G6+ 335,8,10988,536,2.68,3157,,No,No,No,POINT (-73.815675 40.673382)
6/30/21,291623,,Chappaqua,Westchester,NY,10514,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2/17/21,3/9/21,Complete,Tesla Energy Operations Inc.,Delta Electronics,M8-TL-US [240V],1,Hanwha Q CELLS,Q.PEAK DUO BLK-G6+ 340,24,16400,734,8.16,4826,,No,No,No,POINT (-73.771922 41.171866)
6/30/21,212517,,Queens,Queens,NY,11422,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Lease,9/18/19,12/27/19,Complete,SunRun Inc.,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],9,Canadian Solar Inc.,CS6K-305MS,9,8929.49,824,2.75,2892,,No,No,No,POINT (-73.73468 40.663668)
6/30/21,264505,,Brooklyn,Kings,NY,11236,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,9/24/20,3/4/21,Complete,SUNCO CAPITAL LLC,Enphase Energy Inc.,IQ7-60-x-ACM-US [208V],15,Hanwha Q CELLS,Q.PEAK DUO BLK-G5 320,15,45223,960,4.8,5380,,No,No,No,POINT (-73.902635 40.640299)
6/30/21,61735,4154-89520,Baldwin,Nassau,NY,11510,Residential,Residential/Small Commercial,PON 2112LI,Long Island Power Authority,Purchase,2/2/16,8/26/16,Complete,Green Logic LLC,SMA America,SB6000TL-US-22 (240V) (240V),1,SunPower,SPR-E20-327,18,26910,871,5.89,6075,No,No,No,Yes,POINT (-73.609748 40.654614)
6/30/21,8335,5023-71325,Dix Hills,Suffolk,NY,11746,Residential,Residential/Small Commercial,PON 2112LI,Long Island Power Authority,Lease,8/19/15,12/21/15,Complete,NRG Residential Solar Solutions,Enphase Energy,M250-60-2LL-S2X (-ZC) (-NA) (208V),14,LG Electronics Solar Cell Division,LG275S1C-B3,14,9086,585,3.85,4023,No,No,No,No,POINT (-73.364729 40.815715)
6/30/21,148263,,QUEENS VILLAGE,Queens,NY,11428,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Power Purchase Agreement,8/14/18,11/9/18,Complete,SunRun Inc.,Enphase Energy Inc.,IQ6-60-x-US [208V],7,"LONGi Green Energy Technology Co., Ltd.",LR6-60PB-300M,7,13179.6,630,2.1,2723,,No,No,No,POINT (-73.742105 40.721391)
6/30/21,69216,,Long Beach,Nassau,NY,11561,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,10/12/16,1/10/18,Complete,EmPower Solar,SunPower,SPR-E19-320-C-AC,30,SunPower,SPR-E20-327-C-AC,30,36450.01,,9.81,10528,,No,No,Yes,POINT (-73.660291 40.588332)
6/30/21,2555,2259,Stanley,,NY,14561,Non-Residential,Residential/Small Commercial,ARRA Projects,NYS Electric and Gas,,3/31/11,3/31/11,Complete,,SatCon Technology,PVS-50-S-MT(240V),1,SolarWorld,SW245 mono,204,,,49.98,56892,,No,No,No,POINT (-77.12893 42.822179)
6/30/21,297601,,Saint Albans,Queens,NY,11412,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,3/18/21,6/2/21,Complete,SunPower Capital LLC,SunPower,SPR-A410-G-AC [240V],17,Sunpower,SPR-A410-G-AC,17,27606.21,906,6.97,6080,,No,No,No,POINT (-73.759234 40.698064)
6/30/21,154177,,Yonkers,Westchester,NY,10704,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Lease,9/13/18,12/7/18,Complete,SunRun Inc.,Enphase Energy Inc.,IQ6-60-x-US [240V],11,Trina Solar,TSM-280DD05A.05(II),11,11503.8,924,3.08,3456,,No,No,No,POINT (-73.861958 40.919901)
6/30/21,79039,,Gansevoort,Saratoga,NY,12831,Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,3/7/17,7/14/17,Complete,Seed Renewables LLC,SolarEdge Technologies,SE5000 (240V) w/ -ER-US or A-US,1,SolarWorld,SW 285 Mono Black,7,6985,798,2,1813,,No,No,No,POINT (-73.693309 43.188019)
6/30/21,47007,5321-0186-Financing,Brentwood,Suffolk,NY,11717,Residential,Residential/Small Commercial,PON 2112LI,Long Island Power Authority,Purchase,6/24/16,1/4/17,Complete,Long Island Power Solutions,Enphase Energy,M215-60-2LL-S2X-IG-ZC-NA,29,Hyundai Heavy Industries,HiS-S280RG(BK),29,39819.69,,8.12,9536,No,No,No,Yes,POINT (-73.247736 40.78528)
6/30/21,154905,,Farmingdale,Nassau,NY,11735,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,10/1/18,1/10/19,Complete,"SuNation Solar Systems, Inc.",SolarEdge Technologies Ltd.,SE7600H-US [240V],1,"S-Energy Co., Ltd.",SN355M-10,24,28767.2,,8.52,9159,,No,No,Yes,POINT (-73.436991 40.727443)
6/30/21,181205,,Staten Island,Richmond,NY,10314,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Lease,4/18/19,8/14/19,Complete,SunRun Inc.,SMA America,SB3.0-1SP-US-40 [240V],1,LG Electronics Inc.,LG360Q1C-A5,7,14027,756,2.52,2848,,No,No,No,POINT (-74.152798 40.604049)
6/30/21,69103,,Bay Shore,Suffolk,NY,11706,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,9/19/16,11/28/16,Complete,KPS Solar Inc,SolarEdge Technologies,SE 10000A-US (240V),1,Panasonic Group SANYO Electric,VBHN325SA16,37,40283.75,,12.03,13683,,No,No,Yes,POINT (-73.255404 40.729218)
6/30/21,264817,,Queens,Queens,NY,11420,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,9/30/20,12/17/20,Complete,SunRun Inc.,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],9,LG Electronics Inc.,LG345N1C-V5,9,16871,621,3.11,4067,,No,No,No,POINT (-73.815675 40.673382)
6/30/21,266838,,Chittenango,Madison,NY,13037,Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,10/28/20,12/23/20,Complete,J&A electrical construction llc,Altenergy Power System Inc.,YC600 [240V],3,Solaria Corporation,Solaria PowerXT-360R-PD,5,5670,630,1.8,1938,,No,No,Yes,POINT (-75.867522 43.056265)
6/30/21,275508,,Wyandanch,Suffolk,NY,11798,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,3/16/21,5/13/21,Complete,Hytech Solar Inc,Enphase Energy Inc.,IQ7-60-x-ACM-US [240V],33,REC Solar,REC330TP3M Black,33,29450,,10.89,12485,,No,No,Yes,POINT (-73.365346 40.752907)
6/30/21,221981,,Bronx,Bronx,NY,10466,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Lease,11/26/19,12/18/19,Complete,Momentum Capital LLC,Enphase Energy Inc.,IQ7-60-x-US [240V],10,LG Electronics Inc.,LG345N1C-V5,10,12006,673,3.45,3069,,No,No,No,POINT (-73.846822 40.891057)
6/30/21,311424,,Great Neck,Nassau,NY,11021,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,6/7/21,,Pipeline,,Enphase Energy Inc.,IQ7-60-x-US [208V],13,LG Electronics Inc.,LG350N1K-A6,13,33306,910,4.55,4382,,No,No,No,POINT (-73.727508 40.787016)
6/30/21,56222,4704-70031,Central Islip,Suffolk,NY,11722,Residential,Residential/Small Commercial,PON 2112LI,Long Island Power Authority,Power Purchase Agreement,7/29/15,3/21/16,Complete,Tesla Energy Operations Inc.,ABB,PVI-3.6-OUTD-S-US-Z-A (240V),1,Canadian Solar,CS6P-250PX,14,19600,700,3.5,4544,No,No,No,No,POINT (-73.198651 40.783771)
6/30/21,135772,,Buffalo,Erie,NY,14226,Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,8/25/18,10/10/18,Complete,"Solcius, LLC",SolarEdge Technologies Ltd.,SE3800H-US [208V],1,SolarWorld Americas Inc,Sunmodule Plus SWA 290 mono black,15,17800,685,4.35,2486,,No,No,No,POINT (-78.798863 42.970111)
6/30/21,127676,,Lockport,Niagara,NY,14094,Residential,Residential/Small Commercial,PON 2112,NYS Electric and Gas,Purchase,7/11/18,9/19/18,Complete,"Solcius, LLC",SolarEdge Technologies Ltd.,SE3800H-US [240V],1,SolarWorld Industries GmbH,Sunmodule Plus SW 290 mono black,12,13572,962,3.48,2994,,No,No,No,POINT (-78.693851 43.157671)
6/30/21,116996,,Queens,Queens,NY,11433,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,4/16/18,6/4/18,Complete,Kamtech Restoration Corp,SunPower,SPR-X22-360-D-AC [208V],9,SunPower,SPR-X22-360-D-AC,9,26680,778,3.24,2625,,No,No,No,POINT (-73.787795 40.697789)
6/30/21,270633,,Staten Island,Richmond,NY,10312,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Power Purchase Agreement,10/16/20,12/11/20,Complete,"IGS Solar, LLC",Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],13,LG Electronics Inc.,LG350N1C-V5,13,19155.5,910,4.55,5694,,No,No,No,POINT (-74.178263 40.542961)
6/30/21,10509,4355-0191-Financing,Hicksville,Nassau,NY,11801,Residential,Residential/Small Commercial,PON 2112LI,Long Island Power Authority,Purchase,7/6/16,9/29/16,Complete,"SuNation Solar Systems, Inc.",SolarEdge Technologies,SE6000 (240V) w/ -ER-US or A-US,1,SunPower,SPR-X21-345,20,27058,,6.9,8526,No,No,No,Yes,POINT (-73.523021 40.762643)
6/30/21,259361,,Staten Island,Richmond,NY,10312,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,8/28/20,10/19/20,Complete,SunRun Inc.,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],14,LG Electronics Inc.,LG345N1C-V5,14,22466,966,4.83,5134,,No,No,No,POINT (-74.178263 40.542961)
6/30/21,256043,,Brooklyn,Kings,NY,11221,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,7/29/20,9/22/20,Complete,"Brooklyn SolarWorks, LLC",SMA America,SB3.8-1SP-US-40 [208V],1,LG Electronics Inc.,LG370Q1C-A5,5,31651,370,1.85,2261,,No,No,Yes,POINT (-73.92753 40.691501)
6/30/21,187264,,LARCHMONT,Westchester,NY,10538,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,5/29/19,7/31/19,Complete,Momentum Solar (dba for Pro Custom Solar LLC),Enphase Energy Inc.,IQ7-60-x-US [240V],11,LG Electronics Inc.,LG335N1C-A5,11,14726.25,807,3.69,3535,,No,No,No,POINT (-73.756566 40.935552)
6/30/21,9804,4629-89582-GJ,New Hyde Park,Nassau,NY,11040,Residential,Residential/Small Commercial,PON 2112LI,Long Island Power Authority,Purchase,2/17/16,7/29/16,Complete,Harvest Power,SolarEdge Technologies,SE3000 (240V) w/ -ER-US or A-US,1,Renesola America,JC250M-24/Bx-b,15,16537.5,750,3.75,4845,No,No,No,Yes,POINT (-73.680183 40.744867)
6/30/21,44330,5137-92800,New Hyde Park,Nassau,NY,11040,Residential,Residential/Small Commercial,PON 2112LI,Long Island Power Authority,Lease,3/10/16,9/29/16,Complete,Sungevity Development LLC,ABB,PVI-3.8-OUTD-S-US-A (240V),1,Trina Solar,TSM-255PD05.05,19,17054.4,969,4.85,6007,No,No,No,No,POINT (-73.680183 40.744867)
6/30/21,218477,,Seneca Falls,Seneca,NY,13148,Residential,Residential/Small Commercial,PON 2112,NYS Electric and Gas,Purchase,11/1/19,1/22/20,Complete,"Solar Liberty Energy Systems, Inc.",SunPower,SPR-X22-360-C-AC [240V],5,Sunpower,SPR-X22-360-C-AC,5,10112.5,630,1.8,2233,,No,No,No,POINT (-76.783976 42.913822)
6/30/21,263171,,Brooklyn,Kings,NY,11212,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,9/16/20,12/15/20,Complete,SUNCO CAPITAL LLC,Enphase Energy Inc.,IQ7-60-x-ACM-US [208V],12,"S-Energy Co., Ltd.",SN310M-10T,12,40838,513,3.72,3483,,No,No,No,POINT (-73.913254 40.661868)
6/30/21,2416,17946-99,Circleville,,NY,10919,Residential,Residential/Small Commercial,ARRA Projects,Orange and Rockland Utilities,,5/8/12,5/8/12,Complete,Tesla Energy Operations Inc.,Power-One,PVI-4.2-OUTD-S-US (240 V),1,Yingli Energy (China),YL235P-29b,20,,,4.7,4776,,No,No,No,POINT (-74.384992 41.522935)
6/30/21,282570,,Staten Island,Richmond,NY,10314,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Power Purchase Agreement,2/9/21,,Pipeline,,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],13,LG Electronics Inc.,LG350N1C-V5,13,19747,910,4.55,5816,,No,No,No,POINT (-74.152798 40.604049)
6/30/21,188412,,Jamaica,Queens,NY,11420,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Lease,6/8/19,7/17/19,Complete,SunRun Inc.,"Ningbo Ginlong Technologies Co.,Ltd.",Solis-1P3.6K-4G-US [240V],1,LG Electronics Inc.,LG330N1C-A5,13,17165,837,4.29,3753,,No,No,No,POINT (-73.815675 40.673382)
6/30/21,271595,,Staten Island,Richmond,NY,10304,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,11/17/20,2/25/21,Complete,SUNCO CAPITAL LLC,Enphase Energy Inc.,IQ7-60-x-ACM-US [208V],6,Hanwha Q CELLS,Q.PEAK DUO BLK-G5 320,6,41177,384,1.92,2342,,No,No,No,POINT (-74.092177 40.606587)
6/30/21,236927,,Brooklyn,Kings,NY,11204,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Power Purchase Agreement,2/19/20,9/15/20,Complete,"IGS Solar, LLC",Enphase Energy Inc.,IQ7PLUS-72-x-US [208V],14,LG Electronics Inc.,LG350N1C-V5,14,19747,980,4.9,6022,,No,No,No,POINT (-73.985272 40.618877)
6/30/21,21864,5159-60281,Levittown,Nassau,NY,11756,Residential,Residential/Small Commercial,PON 2112LI,Long Island Power Authority,Power Purchase Agreement,4/2/15,10/29/15,Complete,Level Solar,SolarEdge Technologies,SE3800 (240V) w/ -ER-US or A-US,1,Yingli Energy (China),YL255P-29b,10,13005,750,2.55,3025,No,No,No,No,POINT (-73.517198 40.725845)
6/30/21,249932,,Hauppauge,Suffolk,NY,11788,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,6/11/20,10/12/20,Complete,"SuNation Solar Systems, Inc.",Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],27,Solaria Corporation,Solaria PowerXT-370R-PD,27,28880,,9.99,10291,,No,No,Yes,POINT (-73.210927 40.817844)
6/30/21,46930,4160-0148-Financing,New Hyde Park,Nassau,NY,11040,Residential,Residential/Small Commercial,PON 2112LI,Long Island Power Authority,Purchase,6/24/16,9/21/16,Complete,"Energy By Choice, Ltd.",SMA America,SB6000TL-US-22 (240V) (240V),1,SunPower,SPR-327NE-WHT-D,20,26000,,6.54,8072,No,No,No,Yes,POINT (-73.680183 40.744867)
6/30/21,79672,,Oceanside,Nassau,NY,11572,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,4/18/17,7/19/17,Complete,Grid City Electric Corp,SolarEdge Technologies,SE 10000A-US (240V),1,LG Electronics,LG320N1C-G4,33,40128,,10.56,11266,,No,No,Yes,POINT (-73.637997 40.635636)
6/30/21,221894,,Commack,Suffolk,NY,11725,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,11/20/19,2/20/20,Complete,"SuNation Solar Systems, Inc.",Enphase Energy Inc.,IQ7-60-x-US [240V],23,Trina Solar,TSM-305DD05A.05(II),23,28136,,7.02,8522,,No,No,Yes,POINT (-73.280971 40.839488)
6/30/21,307697,,Seaford,Nassau,NY,11783,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,5/24/21,,Pipeline,,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],29,Hanwha Q CELLS,Q.PEAK DUO BLK ML-G9+ 380,29,40315.21,,11.02,13228,,No,No,Yes,POINT (-73.491332 40.67888)
6/30/21,167737,,flushing,Queens,NY,11367,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,1/4/19,4/3/19,Complete,"You Save Green, Inc",SolarEdge Technologies Ltd.,SE5000H-US [208V],1,SANYO ELECTRIC CO LTD OF PANASONIC GROUP,VBHN330SA17,9,16136,891,2.97,3536,,No,No,No,POINT (-73.824338 40.729914)
6/30/21,306330,,East Meadow,Nassau,NY,11554,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,5/4/21,6/30/21,Complete,Green Logic LLC,SunPower,SPR-X21-350-BLK-E-AC [240V],26,Sunpower,SPR-X21-350-BLK-E-AC,26,34196,,9.1,9167,,No,No,Yes,POINT (-73.556907 40.716032)
6/30/21,29643,4704-50592,Hicksville,Nassau,NY,11801,Residential,Residential/Small Commercial,PON 2112LI,Long Island Power Authority,Lease,10/24/14,5/14/15,Complete,Tesla Energy Operations Inc.,SolarEdge Technologies,SE3000 (240V) w/ -ER-US or A-US,1,Canadian Solar,CS6P-250PX,8,11200,464,2,1765,No,No,No,No,POINT (-73.523021 40.762643)
6/30/21,261217,,Queens,Queens,NY,11413,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,9/3/20,4/23/21,Complete,Venture Home Solar LLC,Enphase Energy Inc.,IQ7-60-x-US [208V],14,LG Electronics Inc.,LG335N1C-V5,14,18572.4,938,4.69,4742,,No,No,No,POINT (-73.750319 40.672267)
6/30/21,309211,,Jamaica,Queens,NY,11434,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Power Purchase Agreement,5/20/21,,Pipeline,,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],17,Hanwha Q CELLS,Q.PEAK DUO BLK ML-G9+ 380,17,17248.2,672,6.46,4547,,No,No,No,POINT (-73.775656 40.676003)
6/30/21,254119,,Brooklyn,Kings,NY,11208,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,7/15/20,9/17/20,Complete,Venture Home Solar LLC,Enphase Energy Inc.,IQ7-60-x-US [208V],19,LG Electronics Inc.,LG335N1C-A5,19,23614.15,726,6.37,4900,,No,No,No,POINT (-73.872692 40.673742)
6/30/21,276548,,Flushing,Queens,NY,11355,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Lease,1/23/21,3/31/21,Complete,SunRun Inc.,Enphase Energy Inc.,IQ7-60-x-US [240V],14,"LONGi Green Energy Technology Co., Ltd.",LR6-60HPB-310M,14,9704,868,4.34,5464,,No,No,No,POINT (-73.821798 40.751021)
6/30/21,72295,,Selden,Suffolk,NY,11784,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,11/8/16,2/6/17,Complete,GreenLeaf Solar,Enphase Energy,M250-60-2LL-S2X (-ZC) (-NA) (240V),25,Hyundai Heavy Industries,HiS-S280RG(BK),25,27100,,7,7679,,No,No,Yes,POINT (-73.04142 40.86939)
